ID,Nama Makanan,Kategori,Jumlah Sajian,Per Sajian,Energi,Energi dari lemak,Energi dari lemak jenuh,Karbohidrat total,Karbohidrat lain,Protein,Lemak total,Lemak jenuh,Lemak tidak jenuh ganda,Lemak tidak jenuh tunggal,Lemak trans,Kolesterol,Serat pangan,Serat pangan larut,Serat pangan tidak larut,Gula,Gula alkohol,Air,Abu,Vitamin A,B0Karoten,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B12,Folat,Biotin,Kolin,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Kalsium,Fosfor,Magnesium,Natrium,Kalium,Besi,Seng,Tembaga,Mangan,Iodium,Selenium,Fluor,Kromium,L0Karnitin,Myo0Inositol,Asam linoleat,Asam a0linolenat
701,Choco Strip,Mako,1.0,porsi (28 g),160.0,,,15.0,,2.0,10.0,9.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,
702,Choco Tiramisu,Tango,1.0,porsi (20 g),90.0,,,15.0,,1.0,3.5,2.0,,,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,
703,Choco Topping,Ceres,2.0,sdm (30 g),80.0,,,18.0,,1.0,0.0,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
704,Choco-Lah! Coco Chips,East Bali Cashews,1.0,saji (30 g),180.0,,,11.0,,4.0,13.0,3.0,0.0,0.0,,0.0,2.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,90.0,0.0,,,,,,,,,,,,
705,Chocochips Cookies,Okebis,4.0,keping (21 g),100.0,,,14.0,,1.0,4.5,3.0,,,,,1.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,Chocolate & Orange Spread,Dale's Farm,1.0,serving  (30 g),130.0,,,21.0,,1.0,5.0,,,,,0.0,2.0,,,18.0,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,
707,Chocolate Almond Cookies,The Harvest,1.0,serving (45 g),250.0,,,26.0,,4.0,14.0,,,,,30.0,4.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,Chocolate Butter Cookies,The Harvest,1.0,sajian (60 g),330.0,,,35.0,,4.0,19.0,13.0,,,,40.0,3.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,
709,Chocolate Chip Cookies (20g),WRP,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710,Chocolate Chip Cookies (30g),WRP,1.0,bungkus (30 g),130.0,,,20.0,,2.0,6.0,4.0,,,,15.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,
